Number,Title,Author,Genre,SubGenre,Publisher
101,Down and Out in Paris & London,"Orwell, George",nonfiction,autobiography,Penguin
102,Identity & Violence,"Sen, Amartya",philosophy,philosophy,Penguin
103,Beyond the Three Seas,"Dalrymple, William",nonfiction,history,Random House
104,"World's Greatest Short Stories, The",,fiction,classic,Jaico
105,Talking Straight,"Iacoca, Lee",nonfiction,autobiography,Penguin
106,"Maugham's Collected Short Stories, Vol 3","Maugham, William S",fiction,classic,Vintage
107,"Phantom of Manhattan, The","Forsyth, Frederick",fiction,classic,Penguin
108,Ashenden of The British Agent,"Maugham, William S",fiction,classic,Vintage
109,Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",philosophy,autobiography,Vintage
110,"Great War for Civilization, The","Fisk, Robert",nonfiction,history,HarperCollins
111,We the Living,"Rand, Ayn",fiction,novel,Penguin
112,"Artist and the Mathematician, The","Aczel, Amir",science,mathematics,HighStakes
113,History of Western Philosophy,"Russell, Bertrand",philosophy,philosophy,Routledge
114,Selected Short Stories,,fiction,classic,Jaico
115,Rationality & Freedom,"Sen, Amartya",science,economics,Springer
116,Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",nonfiction,history,Simon&Schuster
117,Uncommon Wisdom,"Capra, Fritjof",nonfiction,anthology,Fontana
118,One,"Bach, Richard",nonfiction,autobiography,Dell
119,Karl Marx Biography,"Marx, Karl",nonfiction,autobiography,Penguin
120,To Sir With Love,Braithwaite,fiction,classic,Penguin
